Primary identifier,Name,Literature identifier,Study type,Endocrine-mediated endpoints,Endocrine mediated systems
CID:6623,Bisphenol A,PMID:20488778,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23675523,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23748860,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24705360,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24705360,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Causes insulin resistance,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21787673,IVR,Causes masculinized behavior,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22842222,IVR,Causes masculinized behavior,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22842222,IVR,Causes masculinized behavior,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27089241,IVR,Causes masculinized behavior,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25797437,IVTH,Cervical carcinoma,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:11914775,IVR,Changes in adrenal gland morphology,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24147964,IVR,Changes in adrenal gland morphology,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24323913,IVR,Changes in adrenal gland morphology,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12535155,IVR,Changes in Anteroventral periventricular Nucleus (AVPV) volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16427766,IVR,Changes in Anteroventral periventricular Nucleus (AVPV) volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25051448,IVR,Changes in Anteroventral periventricular Nucleus (AVPV) volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28890130,IVR,Changes in Anteroventral periventricular Nucleus (AVPV) volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28890130,IVR,Changes in Anteroventral periventricular Nucleus (AVPV) volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28890130,IVR,Changes in Anteroventral periventricular Nucleus (AVPV) volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24189131,IVR,Changes in B-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26021997,IVTH,Changes in B-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26021997,IVTH,Changes in B-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26021997,IVTH,Changes in B-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12492412,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12492412,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:15867144,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17023525,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17123778,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17123778,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17450229,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:18180321,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21988766,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23704952,IVR,Changes in mammary gland morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20561153,IVR,Changes in medial amygdala (MePD) nucleus volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20561153,IVR,Changes in medial amygdala (MePD) nucleus volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20561153,IVR,Changes in medial amygdala (MePD) nucleus volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28890130,IVR,Changes in medial amygdala (MePD) nucleus volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28890130,IVR,Changes in medial amygdala (MePD) nucleus volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28890130,IVR,Changes in medial amygdala (MePD) nucleus volume,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26529182,IVR,Changes in morphology of paraurethral glands,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10597890,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12148547,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19193734,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19193734,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27573348,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27573348,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27573348,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28384430,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28384430,IVR,Changes in morphology of seminiferous tubules,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12492412,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12492412,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17804194,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17804194,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17804194,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19590677,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19590677,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19590677,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20350546,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20350546,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16323634,IVR,Changes in placental morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26063408,IVR,Changes in placental morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26484192,IVR,Changes in placental morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26484192,IVR,Changes in placental morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28736254,IVTH,Changes in placental morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12709020,IVR,Changes in T-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17827700,IVR,Changes in T-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24189131,IVR,Changes in T-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28733891,IVR,Changes in T-cell populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26250451,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26250451,IVR,Changes in testicular morphology,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:14692339,IVR,Changes in thymus gland morphology,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:18087818,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:18087818,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:18087818,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24189131,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28962342,IVR,Changes in white blood cell (WBC) populations,Immunological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27631330,IVR,Cognitive impairment,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27631330,IVR,Cognitive impairment,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21427057,IVTH,Decrease in cortisol levels,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24563381,IVTH,Decrease in cortisol levels,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26751127,IVTH,Decrease in cortisol levels,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27631330,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27631330,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26751127,IVTH,Decreased aldosterone levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21427057,IVTH,Decreased androstenedione levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:15051418,IVR,Decreased brain weights,Neurological endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24563381,IVTH,Decreased Dehydroepiandrosterone (DHEA) levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19782717,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19837096,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19837096,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20599497,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24305612,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24305612,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25434757,IVR,Decreased estradiol levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19837096,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19837096,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24440629,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24440629,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29092056,IVR,Decreased levels of adrenocortical hormones (ACTH),Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19782717,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19782717,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20951796,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25434757,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26372177,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22285353,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23160314,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23160314,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23160314,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24726836,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20413367,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20413367,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22285353,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16323634,IVR,Decreased placental weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16323634,IVR,Decreased placental weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26751127,IVTH,Decreased progestagens levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20413367,IVR,Decreased progesterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23672405,IVTH,Decreased progesterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased progesterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16323634,IVR,Decreased prolactin levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16323634,IVR,Decreased prolactin levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26021997,IVTH,Decreased prolactin levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26021997,IVTH,Decreased prolactin levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26021997,IVTH,Decreased prolactin levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:11914775,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12573901,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12573901,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:15051418,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:15051418,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19193734,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19193734,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20813173,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20813173,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24271643,IVR,Decreased testis weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10597890,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19837096,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:19837096,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21415097,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21427057,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22142692,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22142692,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22142692,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22142692,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23284716,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24305612,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24305612,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24563381,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24857958,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25112706,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25112706,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25112706,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25569322,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25569322,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25569322,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25706302,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:25938496,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26751127,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26975478,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27296223,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28482050,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28576649,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28576649,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22662114,IVTH,Decreased triglycerides level,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10746942,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10746942,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10839476,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10839476,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:10839476,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22384422,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:9460178,IVR,Decreased weights of epididymis,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12151630,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24648961,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24648961,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24648961,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:12492412,IVR,Decreased weights of vagina,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Delayed puberty,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29407803,IVR,Delayed puberty,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23160314,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23496298,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26376105,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:26376105,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28739533,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20488778,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20488778,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:21586551,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23376180,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23748860,IVR,Elevated insulin levels,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17804194,IVR,Endometrial hyperplasia,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17804194,IVR,Endometrial hyperplasia,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17804194,IVR,Endometrial hyperplasia,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20350546,IVR,Endometrial hyperplasia,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20350546,IVR,Endometrial hyperplasia,Endocrine-mediated cancer;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22730197,IVR,Epigenomic alterations in sperm,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24305612,IVR,Erectile dysfunction,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24305612,IVR,Erectile dysfunction,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:16540110,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17109964,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23457122,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23457122,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:23926155,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24323913,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:29367495,IVR,Exhibit sexual dimorphism,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:22426297,IVR,Hyperplasia in adrenal gland,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:17123778,IVR,Hyperplasia in mammary glands,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:27088260,IVR,Hyperplasia in mammary glands,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28078498,IVR,Hyperplasia in mammary glands,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:28078498,IVR,Hyperplasia in mammary glands,Reproductive endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:24323913,IVR,Hyperplasia of zona fasciculata in adrenal gland,Metabolic endocrine-mediated perturbations
CID:6623,Bisphenol A,PMID:20488778,IVR,Impaired glucose tolerance,Metabolic endocrine-mediated perturbations
